               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,             0.12864,            0.055875,            0.009859,             0.49226,             0.29175,             0.27686,             0.10892,             0.11847,            0.037455,            0.014502,            0.008812,            0.008812,            0.008812
                 122,             0.12878,            0.055694,           0.0095823,             0.49529,               0.291,             0.27764,             0.10924,             0.11843,            0.037506,            0.014494,           0.0088021,           0.0088021,           0.0088021
                 123,             0.12902,            0.056156,           0.0099709,             0.49222,             0.29169,             0.27797,             0.10964,             0.11839,            0.037488,            0.014473,           0.0087922,           0.0087922,           0.0087922
                 124,             0.12833,            0.055363,           0.0094445,             0.49163,             0.29215,              0.2782,             0.10984,             0.11834,            0.037522,            0.014451,           0.0087823,           0.0087823,           0.0087823
                 125,             0.12862,            0.055796,           0.0096481,             0.49149,             0.29196,             0.27851,             0.11024,              0.1183,            0.037511,            0.014432,           0.0087724,           0.0087724,           0.0087724
                 126,             0.12847,            0.055171,           0.0098106,             0.47706,              0.2961,             0.27886,              0.1105,             0.11825,            0.037542,            0.014406,           0.0087625,           0.0087625,           0.0087625
                 127,             0.12874,            0.055776,           0.0097402,             0.49274,             0.29252,             0.27935,              0.1107,             0.11822,            0.037544,            0.014388,           0.0087526,           0.0087526,           0.0087526
                 128,             0.12867,            0.056211,           0.0095887,             0.51331,             0.28822,             0.28007,              0.1113,             0.11818,            0.037542,            0.014373,           0.0087427,           0.0087427,           0.0087427
                 129,             0.12874,            0.056348,           0.0093461,             0.52241,              0.2862,             0.28102,             0.11186,             0.11813,            0.037572,            0.014352,           0.0087328,           0.0087328,           0.0087328
                 130,             0.12854,            0.055712,            0.010056,             0.53092,              0.2843,             0.28073,             0.11188,             0.11809,             0.03754,            0.014325,           0.0087229,           0.0087229,           0.0087229
                 131,              0.1286,              0.0563,           0.0098655,             0.53306,             0.28454,             0.28122,             0.11195,             0.11805,            0.037571,            0.014317,            0.008713,            0.008713,            0.008713
                 132,             0.12848,            0.055686,           0.0097175,             0.53941,             0.28334,              0.2819,             0.11272,             0.11801,             0.03759,            0.014302,           0.0087031,           0.0087031,           0.0087031
                 133,             0.12875,            0.055441,           0.0095293,             0.53604,             0.28465,             0.28251,             0.11278,             0.11796,            0.037588,            0.014279,           0.0086932,           0.0086932,           0.0086932
                 134,              0.1287,            0.055596,            0.009369,             0.54027,             0.28412,             0.28307,             0.11306,             0.11793,            0.037607,            0.014258,           0.0086833,           0.0086833,           0.0086833
                 135,             0.12862,            0.055827,           0.0096999,              0.5429,             0.28283,             0.28347,             0.11348,             0.11789,            0.037601,            0.014255,           0.0086734,           0.0086734,           0.0086734
                 136,             0.12882,            0.056247,           0.0097515,             0.54824,             0.28149,             0.28363,             0.11384,             0.11785,            0.037614,            0.014235,           0.0086635,           0.0086635,           0.0086635
                 137,             0.12844,            0.055626,           0.0098875,             0.51964,              0.2888,             0.28419,             0.11374,             0.11782,            0.037643,            0.014208,           0.0086536,           0.0086536,           0.0086536
                 138,             0.12886,             0.05593,           0.0097672,             0.52848,             0.28802,             0.28514,             0.11419,             0.11778,            0.037639,            0.014197,           0.0086437,           0.0086437,           0.0086437
                 139,             0.12849,             0.05533,           0.0097117,             0.52483,             0.28959,             0.28562,             0.11445,             0.11774,            0.037629,            0.014175,           0.0086338,           0.0086338,           0.0086338
                 140,             0.12851,            0.055943,           0.0094879,             0.52437,             0.29057,             0.28635,             0.11496,              0.1177,            0.037632,             0.01417,           0.0086239,           0.0086239,           0.0086239
                 141,             0.12847,            0.056238,           0.0093732,             0.52552,             0.28986,             0.28702,             0.11525,             0.11766,             0.03765,            0.014146,            0.008614,            0.008614,            0.008614
                 142,             0.12797,            0.054807,           0.0094435,             0.52362,             0.29072,             0.28778,             0.11567,             0.11762,            0.037648,            0.014126,           0.0086041,           0.0086041,           0.0086041
                 143,             0.12881,             0.05612,           0.0093644,             0.51428,             0.29284,             0.28766,             0.11579,             0.11758,            0.037641,            0.014104,           0.0085942,           0.0085942,           0.0085942
                 144,              0.1281,            0.056535,           0.0095326,             0.51395,             0.29302,             0.28812,              0.1162,             0.11755,            0.037646,            0.014104,           0.0085843,           0.0085843,           0.0085843
                 145,             0.12824,            0.056096,           0.0093946,             0.51397,             0.29334,             0.28818,             0.11669,             0.11751,             0.03764,            0.014094,           0.0085744,           0.0085744,           0.0085744
                 146,             0.12858,            0.055475,            0.009627,             0.47407,             0.30686,             0.28901,             0.11669,             0.11747,            0.037651,            0.014067,           0.0085645,           0.0085645,           0.0085645
                 147,             0.12866,            0.055498,           0.0093196,             0.47646,             0.30666,             0.28936,             0.11708,             0.11743,            0.037654,            0.014051,           0.0085546,           0.0085546,           0.0085546
                 148,             0.12808,            0.055685,           0.0094024,             0.54064,             0.28947,              0.2901,             0.11751,              0.1174,            0.037682,            0.014033,           0.0085447,           0.0085447,           0.0085447
                 149,             0.12848,            0.055277,           0.0094669,             0.49124,              0.3029,             0.29072,             0.11791,             0.11736,            0.037636,            0.014019,           0.0085348,           0.0085348,           0.0085348
                 150,             0.12874,            0.055517,           0.0097909,             0.49106,             0.30374,             0.29117,             0.11789,             0.11734,             0.03766,            0.014003,           0.0085249,           0.0085249,           0.0085249
                 151,             0.12831,            0.056051,           0.0094878,             0.48095,             0.30893,             0.29245,             0.11823,             0.11731,            0.037658,            0.013969,            0.008515,            0.008515,            0.008515
                 152,             0.12861,             0.05559,           0.0098205,             0.48533,             0.30864,             0.29276,             0.11858,             0.11727,            0.037656,            0.013946,           0.0085051,           0.0085051,           0.0085051
